Name,Email Adress,D O B,Salary,CountryCode,EMP Code,Dept Code,Country,CountryTaxcode,TaxPercentage,Pan card
Shiv,shiv_koirala@yahoo.com,3/12/1980,1000,IND,E001,D001,India,IND,5,P001
Raju,raju123@gmail.com,11/2/1975,1500,India,E002,D001,India,IND,5,P002
,shaam@yahoo.com,3/16/1988,1000,NEP,E003,D002,Nepal,NEP,2,P003
Ajay,ajay@yahoo.in,5/22/1986,1000,IND,E004,D003,Indian,IND,5,P004
Kumar,kumar@gmail.in,9/24/1977,6000,USA,E005,D004,America,USA,6,P005
Neeraj,neerajyahoo.com,4/16/1971,0,USA,E006,D002,America,USA,6,P006
,suraj@yahoo.com,2/19/1973,8000,IND,AGYP,D005,America,IND,5,P007
Vishal,vishal@gmail.in,6/24/1978,3000,USA,AMDK,D006,India,USA,6,P008
sharma,sharma@yahoo.com,3/26/1976,2000,IND,E005,D007,America,IND,5,P009
Yadav,yadavgmail.in,8/13/1983,1000,IND,AQPR,DOO8,America,IND,5,P010
Dinesh,dinesh@yahoo.com,1/1/1900,5000,IND,E001,D004,Indian,IND,5,P011
